,bench,bin,highway,lit,name,public_transport,route_ref,shelter,tactile_paving,latitude,longitude,id,wheelchair,bus,covered,network,fixme,passenger_information_display,check_date:shelter,operator,ref_name,departures_board,ref,bicycle_parking,description,lines,check_date:bench,designation,local_ref,source,note,description:de,bus_lines,network:wikidata,network:wikipedia,toilets:wheelchair,network:short,layer,level,construction:public_transport,destination,wheelchair:description,local_ref:note,fare_zone,lanes,lanes:backward,lanes:forward,lastcheck,name:HVV,check_date:tactile_paving,check_date:bin,direction,surface,public_transport:version,official_name,last_check,ref:vhh,shelter:description,check_date,waste_basket,beach,survey:date,route_ref:note,old_name,line,backrest,email,removed:ref_name,uic_ref,removed:operator,operator:note,ref:street,amenity,loc_name,building,alt_name,name:old,comment,route_master,name:note,net,source:route_ref,shelter:note,int_name,alt_name:5304,operator:short,type,route_ref:source,side,alt_name:note,name:description,carriage,name:de,trolleybus,share_taxi,bus_ref,name_old,railway,proposed,FIXME,service,disused,timetable,website,name:source,route_ref:description,junction,service_times,bus_routes,note_1,access,seasonal,start_date,shelter_type,on_demand,phone,url
14,yes,yes,bus_stop,,Bostelbek,platform,,yes,no,53.4708123,9.9323986,47828982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,no,,bus_stop,,Am Stühm-Süd,platform,,yes,no,53.6276836,10.1001820,54548382,yes,,,,postion prüfen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,yes,yes,bus_stop,,Berkefeldweg,platform,141;241,yes,yes,53.4705251,9.9527705,63353504,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,no,,bus_stop,,Hafenbahnhof Alte Süderelbe,platform,,yes,no,53.5030815,9.9051875,63365313,,yes,,HVV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,yes,yes,bus_stop,yes,Waldwinkel,platform,164,yes,no,53.5921246,10.1736593,72635962,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,yes,yes,bus_stop,,Tilsiter Straße,platform,,yes,yes,53.5899144,10.0780441,91825745,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,yes,yes,bus_stop,,Tilsiter Straße,platform,,yes,yes,53.5887572,10.0784592,91826419,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,yes,yes,bus_stop,,Tilsiter Straße (Mitte),platform,,yes,no,53.5906541,10.0844500,91826991,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,yes,yes,bus_stop,,U Wandsbek-Gartenstadt,platform,,yes,no,53.5923185,10.0758640,91828127,yes,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,yes,yes,bus_stop,,U Wandsbek-Gartenstadt,platform,,yes,yes,53.5917169,10.0751114,91829629,yes,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,yes,yes,bus_stop,,Friedrich-Ebert-Damm (West),platform,,yes,yes,53.5854694,10.0782472,91851124,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,yes,yes,bus_stop,,Friedrich-Ebert-Damm (West),platform,,yes,yes,53.5850474,10.0782349,91851402,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,yes,yes,bus_stop,,Friedrich-Ebert-Damm (West),platform,,yes,no,53.5847437,10.0776652,91851786,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,bus_stop,,Friedrich-Ebert-Damm (West),platform,,yes,,53.5848961,10.0795237,91851898,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,bus_stop,,Stephanstraße,platform,,yes,,53.5864552,10.0860885,91854067,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,yes,yes,bus_stop,,Stephanstraße,platform,,yes,yes,53.5863177,10.0864954,91854533,yes,,,,,,2021-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,bus_stop,,Helbingtwiete,platform,,yes,yes,53.5878613,10.0928904,91854715,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,bus_stop,,Helbingtwiete,platform,,yes,no,53.5876700,10.0931445,91854785,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
