name,x,y,"osmid,N,18,0"
"Göddingen, Am Fischteich",10.7642906,53.2535523,311219673
Neu Oerzen,10.3184746,53.1792981,7023976079
"Wendhausen, Im Ort",10.5670338,53.2506276,8708023922
"Melbeck, Gymnasium",10.4156375,53.1785399,8390221907
Ebstorfer Straße,10.4043018,53.1789627,1624952652
"Barendorf, Dorfstraße",10.5212258,53.2244543,185936322
Neu Häcklingen,10.4055348,53.2094134,1602107135
Am Rischpool,10.3791154,53.1810146,5234486266
Robert-Schumann-Straße,10.433913,53.2900786,942482191
Königsberger Weg,10.4398725,53.2834046,387439300
Kornblumenweg,10.4327786,53.2876679,445774035
Röthenweg,10.4327278,53.2859085,302900001
Zeltberg,10.4069669,53.2650556,313954414
Dorfplatz,10.3501768,53.2783682,7510268775
Am Stadtberg,10.3588328,53.2733993,287436861
Pumpenstation,10.3675583,53.2652064,4065795354
Friedhofsweg,10.3471319,53.2765812,286287601
Heimathaus,10.7250696,53.2951218,319992028
Marschweg,10.7201811,53.2971121,355298835
"Bleckede, Auf dem Kamp",10.7366005,53.2891135,275652358
Saatbau,10.7403748,53.2850418,319969924
Fähranleger,10.7342034,53.2977944,1801632891
Buendorf,10.7519136,53.1843834,1838158752
Quickborn,10.7529866,53.1861215,1432208149
"Nindorf bei Bleckede, L222",10.7428188,53.2618189,6445357812
"Bleckede, Dahlenburger Straße",10.741308,53.2790683,320064688
"Bleckede, Waldfrieden",10.7436216,53.2717076,319974894
"Neu Wendischthun, Abzweig",10.78729,53.3036952,747323812
Neu Wendischthun,10.7761113,53.3050591,747323812
Vor der Westermarsch,10.3846317,53.2957478,566592806
"Artlenburg, Elbdeich",10.4826681,53.3751486,2307579589
Scharnebecker Straße,10.4479667,53.3317514,3019763968
"Rullstorf, Am Neetzekanal",10.5589707,53.2965617,3749693091
"Vastorf, Abzweigung Bahnhof",10.5499284,53.1989822,278806832
Denkmal,10.4432224,53.333012,1839897577
"Brietlingen, Ort",10.4452223,53.3302669,7623285536
"Walmsburg, Bruchdorfer Straße",10.8482356,53.2391409,2481243764
"Garze, Große Straße 29",10.6950179,53.3072631,7611446379
"Nutzfelde, Am Walde",10.5173332,53.2686827,846062334
Vrestorfer Weg,10.4260987,53.2788106,2332372281
Thiessendörper Weg,10.3910124,53.2890091,393141179
Am Diemel,10.4009785,53.1803408,8479006739
Ätzberg,10.3949058,53.1774491,578361745
"Hittbergen, Roggenberg",10.5960677,53.3481539,2269708054
Südergellerser Weg,10.2524476,53.232284,301567834
Hauptstraße (L 216),10.2483036,53.2329848,571528159
Teufelsküche,10.384344,53.2382175,277251847
Im Dorfe,10.2918703,53.2313242,266917061
Neu Süttorf,10.6839508,53.2731495,3133820777
Am Dorfplatz,10.624862,53.2653005,322526004
"Sülbeck, An den Eichen (L 221)",10.56262,53.2652483,767341122
Bühringsmoor,10.3594187,53.2922837,566580956
Radbrucher Weg,10.3622233,53.2903712,8723627995
Wendeplatz,10.3564185,53.2938238,566580954
Witwenkamp,10.3650642,53.2891832,448194685
Ernst-Braune-Straße,10.388196,53.23946,319008950
"Hittbergen, Kirche",10.5892276,53.3445894,1277149593
Leuphana,10.4010697,53.2300356,5249245058
Ort,10.5142698,53.2520864,8526739908
