"element_ty,C,80",osmid,"highway,C,80",name,"network,C,80","public_tra,C,80","bench,C,80","operator,C,80","ref_name,C,80","route_ref,C,80","shelter,C,80","tactile_pa,C,80","bicycle_pa,C,80","bus,C,80","lines,C,94","wheelchair,C,80","designatio,C,80","local_ref,C,80","source,C,80","bin,C,80","lastcheck,C,80","passenger_,C,80","name_HVV,C,80","lit,C,80","check_date,C,80","wheelcha_1,C,80","covered,C,80","note,C,96","ref,C,80","departures,C,80","fixme,C,80","removed_re,C,80","network_wi,C,80","network__1,C,80","descriptio,C,80","comment,C,80","name_note,C,80","toilets_wh,C,80","check_da_1,C,80","level,C,80","network_sh,C,80","name_descr,C,89","line,C,80","check_da_2,C,80","amenity,C,80","loc_name,C,80","railway,C,80","name_sourc,C,80","shelter_de,C,80","surface,C,80","nodes,C,80","layer,C,80"
node,111246549,bus_stop,Kurpark,HVV,platform,yes,KVG,"L?neburg, Kurpark",,no,no,,yes,5011,,,,,yes,,,,no,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,114242620,bus_stop,Uelzener Straße (Kurzentrum),HVV,platform,yes,KVG,"L?neburg, Uelzener Stra?e (Kurzentrum)",,no,no,,yes,,yes,,,,yes,,,,no,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,305382797,bus_stop,Munstermannskamp,HVV,platform,,KVG,"L?neburg, Munstermannskamp",,yes,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,402986884,bus_stop,Osterwiese,HVV,platform,yes,KVG,"L?neburg, Osterwiese",,yes,no,,,5011,5203,5920,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,403012178,bus_stop,Klosterweg,HVV,platform,yes,KVG,"L?neburg, Klosterweg",,yes,no,,,5011,5203,5920,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3348587797,bus_stop,Ginsterweg,HVV,platform,no,KVG,"L?neburg, Ginsterweg",,no,no,,yes,"5007, 5700",,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1057013365,bus_stop,Am Schwalbenberg,HVV,platform,yes,KVG,"L?neburg, Am Schwalbenberg",,yes,no,,yes,5011,5600,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,262253660,bus_stop,Wallstraße (Theater),HVV,platform,yes,KVG,"L?neburg, Wallstra?e (Theater)",,yes,yes,,yes,5002,5003,5005,5007,5009,5010,5011,5013,5014,5015,5200,5202,5405,5600,5601,5605,5606,5700,5702,,,,,yes,,,,yes,,,,,,,,,,
node,539018433,bus_stop,Postamt,HVV,platform,yes,KVG,"L?neburg, Postamt",,yes,no,,yes,5003,5007,5011,5300,,,,,yes,,,,yes,2021-06-13,Kein Kasseler Bord vorhanden,,,,,,,,,,,,,,,,,,,,,,,
node,297426712,bus_stop,Hasenburg,HVV,platform,,KVG,"L?neburg, Hasenburg",,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,389948830,bus_stop,Eintracht Sportplatz,HVV,platform,yes,KVG,"L?neburg, Eintracht Sportplatz",5011,5203,5700,5920,ASM,yes,no,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,402916911,bus_stop,Am Bahnhof Rettmer,HVV,platform,no,KVG,"L?neburg, Am Bahnhof Rettmer",,no,no,,,5011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,403012164,bus_stop,Wiesengrund,HVV,platform,no,KVG,"L?neburg, Wiesengrund",,no,no,,,5011,5203,5920,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2618162533,bus_stop,Pilgerpfad,HVV,platform,yes,KVG,"L?neburg, Pilgerpfad",5003,5011,5203,5921,5922,ASM,yes,no,,,,no,,,,yes,,,,yes,,Stufe in den Bus sind recht hoch,,,,,,,,,,,,,,,,,,,,,
node,7799257024,bus_stop,Am Wischfeld,HVV,platform,yes,KVG,"L?neburg, Am Wischfeld",,yes,yes,,,5011,5203,5920,ASM,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
node,3267192184,bus_stop,Hessenweg (Mitte),HVV,platform,yes,KVG,"L?neburg, Hessenweg (Mitte)",5003,5011,5203,5921,5922,ASM,yes,no,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
