"element_ty,C,80",osmid,"highway,C,80",name,"network,C,80","public_tra,C,80","bench,C,80","operator,C,80","ref_name,C,80","route_ref,C,80","shelter,C,80","tactile_pa,C,80","bicycle_pa,C,80","bus,C,80","lines,C,94","wheelchair,C,80","designatio,C,80","local_ref,C,80","source,C,80","bin,C,80","lastcheck,C,80","passenger_,C,80","name_HVV,C,80","lit,C,80","check_date,C,80","wheelcha_1,C,80","covered,C,80","note,C,96","ref,C,80","departures,C,80","fixme,C,80","removed_re,C,80","network_wi,C,80","network__1,C,80","descriptio,C,80","comment,C,80","name_note,C,80","toilets_wh,C,80","check_da_1,C,80","level,C,80","network_sh,C,80","name_descr,C,89","line,C,80","check_da_2,C,80","amenity,C,80","loc_name,C,80","railway,C,80","name_sourc,C,80","shelter_de,C,80","surface,C,80","nodes,C,80","layer,C,80"
node,500905961,bus_stop,Boizenburger Straße,HVV,platform,no,KVG,"L?neburg, Boizenburger Stra?e",,no,no,,yes,5014,limited,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1029618352,bus_stop,Thorner Straße (West),HVV,platform,,KVG,"L?neburg, Ostpreu?enring",,no,,,yes,5014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,312506373,bus_stop,Thorner Platz,HVV,platform,yes,KVG,"L?neburg, Thorner Platz",,no,no,,,5014,5405,5404,5919,5402,,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,
node,253248083,bus_stop,Salzwedeler Straße,HVV,platform,no,KVG,"L?neburg, Salzwedeler Stra?e",,no,no,,,5014,,,,,yes,,,,no,2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,312510075,bus_stop,Elbinger Straße,HVV,platform,,KVG,"L?neburg, Elbinger Stra?e",,no,,,,5014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,312510076,bus_stop,Dessauer Straße,HVV,platform,no,KVG,"L?neburg, Dessauer Stra?e",5014,ASM,no,no,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,534870775,bus_stop,Magdeburger Straße,HVV,platform,no,KVG,"L?neburg, Magdeburger Stra?e",,no,yes,,,5014,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,534870781,bus_stop,Stöteroggestraße (Nord),HVV,platform,yes,KVG,"L?neburg, St?teroggestra?e (Nord)",5014,ASM,yes,yes,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2537095304,bus_stop,Brücke,HVV,platform,,KVG,"Wittorf, Br?cke",5405,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,408449519,bus_stop,Hasenburger Weg,HVV,platform,,KVG,"L?neburg, Hasenburger Weg",5007,5920,ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1678365436,bus_stop,Wallstraße,HVV,platform,no,KVG,"Bardowick, Wallstra?e",5002,5402,5405,no,no,,yes,,,,,,,,,,,2021-05-04,,,,,,,,,,,,,,,,,,,,,,,,,
node,312185027,bus_stop,Elba,HVV,platform,no,KVG,"Adendorf, Elba",,no,no,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9028646324,bus_stop,Landwehrplatz,,platform,,,"Reppenstedt, Landwehrplatz",5013,5200,5202,ASM,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,443886412,bus_stop,Bardowicker Straße,,platform,no,,"Scharnebeck, Bardowicker Stra?e",5104,5110,5901,no,no,,,,,,,,,,,,,2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,
node,344892589,bus_stop,Lübbelau,HVV,platform,,,"Scharnebeck, L?bbelau",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,286511203,bus_stop,Finkenweg,HVV,platform,no,PVG,,5009,5404,ASM,no,no,,yes,,limited,,,,,,,,,,,,,,,,,Q896916,de:Hamburger Verkehrsverbund,,,,,,,,,,,,,,,,
node,314645636,bus_stop,"Lemgrabe, Am Hasenberg",,platform,,,,5303,ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1599089598,bus_stop,Lilienthalstraße,HVV,platform,no,KVG,"L?neburg, Lilientalstra?e",5100,5120,5010,no,no,,,5100,5120,5010,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1599748806,bus_stop,Von-Stern-Straße,HVV,platform,no,KVG,"L?neburg, Von-Stern-Stra?e",5010,5100,5120,no,no,,,5010,5100,5120,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,
node,119994771,bus_stop,Eisenwerk,HVV,platform,no,KVG,"L?neburg, Eisenwerk",5010,5100,5120,no,no,,,5010,5100,5120,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7819577982,bus_stop,Gebrüder-Heyn-Straße,HVV,platform,no,KVG,"L?neburg, Gebr?der-Heyn-Stra?e",5010,no,no,,,5010,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,373161834,bus_stop,Hagen-Schule,HVV,platform,no,KVG,"L?neburg, Hagen/Schule",5012,5100,5120,5300,5304,5362,5402,5700,no,yes,,yes,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,
node,119100610,bus_stop,Wacholderweg,HVV,platform,,KVG,"L?neburg, Wacholderweg",5012,,,,yes,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,301874635,bus_stop,Ahornweg,HVV,platform,,KVG,"L?neburg, Ahornweg",5012,,,,yes,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,672754332,bus_stop,Adendorfer Straße,,platform,no,,"Scharnebeck, Adendorfer Stra?e",5110,5120,5901,no,no,,,,,,,,,,,,no,2021-07-09,,,,,,,,,,,,,,,,,,,,,,,,,
node,494088099,bus_stop,Boltersener Straße,,platform,no,,,5110,no,no,,,,,,,,no,,,,,2021-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4346393490,bus_stop,"Boltersen, Rullstorfer Straße",HVV,platform,no,KVG,,5110,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,324239002,bus_stop,Nutzfelder Weg,HVV,platform,no,,"Rullstorf, Nutzfelder Weg",5110,no,no,,,,,,,,no,,,,,2021-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1050068557,bus_stop,Hauptstraße,HVV,platform,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2869209506,bus_stop,Sportzentrum,HVV,platform,yes,,"Adendorf, Sportzentrum",,yes,no,,,5007,,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,
node,476600749,bus_stop,Grundschule,HVV,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,304638989,bus_stop,Weinbergsweg Schule,HVV,platform,yes,KVG,"Adendorf, Weinbergsweg Schule",,yes,no,,,,,,,,yes,,,,yes,2020-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,339024845,bus_stop,Meisterstraße,,platform,yes,,"Scharnebeck, Meisterstra?e",5104,5110,5901,yes,no,,,,,,,,,,,,,2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,
node,489755319,bus_stop,Jürgenstorfer Straße,HVV,platform,,,"J?rgenstorf, J?rgenstorfer Stra?e",5102,5104,5901,5917,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30093348,bus_stop,K 2 / Zum Bahnhof,HVV,platform,no,,"Rullstorf, K 2 / Zum Bahnhof",,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1204223255,bus_stop,Alte Dorfstraße,HVV,platform,no,,"Rullstorf, Alte Dorfstra?e",,no,no,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,567004808,bus_stop,"Scharnebeck, Echemer Straße",,platform,,,,5902,5931,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1086281126,bus_stop,"Lentenau, K28",HVV,platform,yes,,,,yes,no,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5113420637,bus_stop,"Reinstorf, Reinstorfer Kreuz",HVV,platform,no,,,5300,5304,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,416969347,bus_stop,Im Sande,HVV,platform,,KVG,"Kirchgellersen, Im Sande",5200,5201,5202,5203,ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266917632,bus_stop,Kirche,HVV,platform,,KVG,"Kirche, Kirchgellersen",,yes,,,,5200,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8708546811,bus_stop,Im Wiesengrund,HVV,platform,,KVG,"Kirchgellersen, Im Wiesengrund",,yes,,,,5200,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3060045192,bus_stop,Landwehr,HVV,platform,,KVG,"L?neburg, Landwehr",4714,5002,5402,5405,ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,454631858,bus_stop,Hagemannsweg,HVV,platform,,KVG,"L?neburg, Hagemannsweg",,yes,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,417443430,bus_stop,Schulzentrum,HVV,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1705557196,bus_stop,Floetstraße,HVV,platform,,,"Melbeck, Floetstra?e",,,,,,5600,5606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,277399793,bus_stop,Rote Schleuse,,platform,no,,"L?neburg, Rote Schleuse",5020,5606,no,no,,yes,,,,,,no,,,,,,,,,,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,
node,8524206695,bus_stop,"Melbeck, Uelzener Straße",hvv,platform,,,,,,,,,5605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3037235993,bus_stop,Bernhard-Riemann-Straße,HVV,platform,no,KVG,"L?neburg, Bernhard-Riemann-Stra?e",,no,,,,5601,5605,5606,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,244401296,bus_stop,Von-Stauffenberg-Straße,HVV,platform,yes,,"Adendorf, Von-Stauffenberg-Stra?e",,no,no,,,5007,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,301562193,bus_stop,Rauher Weg,HVV,platform,yes,KVG,"Adendorf, Rauher Weg",,yes,yes,,,,,,,,,,,,,2021-03-20,,,Position eingemessen,,,,,,,,,,,,,,,,,,,,,,,,
node,558971480,bus_stop,"Heiligenthal, Ort",HVV,platform,,KVG,,5201,5203,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,470937620,bus_stop,In de Tüünen,HVV,platform,,KVG,,,no,,,,5201,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,503301564,bus_stop,Heiligenthaler Straße,HVV,platform,,KVG,,,,,,,5201,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,564137024,bus_stop,"Melbeck, Danziger Straße",,platform,,,,5600,5606,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,577366509,bus_stop,"Embsen, Siedlung",,platform,,,,5600,5606,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,287098768,bus_stop,Kulturforum Wienebüttel,HVV,platform,,KVG,"L?neburg, Kulturforum Wieneb?ttel",5009,ASM,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,577733836,bus_stop,"Brietlingen, Schierenweg",,platform,yes,,,5900,5903,5904,ASM,yes,yes,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
node,382009302,bus_stop,"Brietlingen, Moorweg",,platform,yes,,,5903,5904,ASM,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,309229350,bus_stop,Ritzkamper Weg,HVV,platform,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,346183779,bus_stop,Schwarzer Weg,HVV,platform,no,KVG,"L?neburg, Schwarzer Weg",,no,no,,yes,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,302310334,bus_stop,Gut Olm,HVV,platform,,KVG,"L?neburg, Gut Olm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7051227607,bus_stop,Abzweigung Ebensberg,HVV,platform,,KVG,"L?neburg, Abzweigung Ebensberg",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4338084488,bus_stop,Erbstorfer Landstraße,HVV,platform,,KVG,"Erbstorf, Erbstorfer Landstra?e",5110,5901,5925,5931,AST,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,988590957,bus_stop,Hölderlinstraße,HVV,platform,,KVG,"L?neburg, H?lderlinstra?e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290823819,bus_stop,"Wendewisch, Campingplatz",,platform,,,,5102,5152-AST,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1049251506,bus_stop,"Riecklingen, Abzweigung",,platform,,,,5302,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,317985520,bus_stop,Leestahl 2,,platform,,,,5302,no,,,,,,,,,,,,,,,,,,,,,,,,,,"Am Haltestellenschild steht noch der Name ""Leestahl"".",,,,,,,,,,,,,,,
node,1854036439,bus_stop,Am Kirchkamp,,platform,,,"Dumstorf, Am Kirchkamp",5302,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,121136981,bus_stop,Schule A,HVV,platform,,,"Barendorf, Schule",5300,5304,5362,AST,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,277260345,bus_stop,"Embsen, Bahnhofstraße",,platform,yes,,,5600,5606,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,663386180,bus_stop,"Embsen, Querlberg",,platform,,,,5600,ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,413541248,bus_stop,"Horndorf, Zur Doven Elbe",,platform,yes,,,5300,5304,5361,5362,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8716573169,bus_stop,"Reinstorf, Hauptstraße",,platform,,,,5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1509822736,bus_stop,Forsthaus,HVV,platform,,,"Embsen, Forsthaus",5600,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8717776249,bus_stop,"Barum, Abzweig Horburg",HVV,platform,no,KVG,,5405,5904,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9028751775,bus_stop,"Barum, Am See",HVV,platform,no,KVG,,5904,no,no,,,,,,,,no,,,,,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5239244504,bus_stop,"Oerzen, Fliederstraße",,platform,,,,5203,5700,5705,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2075922410,bus_stop,Hohe Luft,HVV,platform,,,"Melbeck, Hohe Luft",,,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,277404766,bus_stop,"Bavendorf, Im Dorfe",,platform,,,,5303,5361,5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,109400356,bus_stop,"Reinstorf, Am Vitusbach",,platform,,,,5110,5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,317549254,bus_stop,Neumühlener Weg,HVV,platform,no,,"Neu Boltersen, Neum?hler Weg",5110,no,no,,,,,,,,,,,,,2021-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,728601562,bus_stop,Mühlenkamp,HVV,platform,no,,"Neu Boltersen, M?hlenkamp",,yes,no,,,,,,,,,,,,,2021-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2117470702,bus_stop,Auf der Hausstelle,,platform,,,,5361,5362,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,114244030,bus_stop,Feuerwehr,HVV,platform,yes,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1736935361,bus_stop,Ostlandring,HVV,platform,no,KVG,"L?neburg, Ostlandring",,no,no,,yes,5010,,,,,yes,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,285670612,bus_stop,Freibad,HVV,platform,no,KVG,L?neburg Freibad,,no,no,,yes,5010,,,,,no,20141210,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7087531166,bus_stop,Kreuzkamp,HVV,platform,no,KVG,"Adendorf, Kreuzkamp",,no,no,,,,,,,,,,,,,2021-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,395382564,bus_stop,Robert-Koch-Straße,HVV,platform,no,KVG,"Adendorf, Robert-Koch-Stra?e",,no,no,,,,,,,,,,,,,,,,,,,Lage gesch?tzt,,,,,,,,,,,,,,,,,,,,,
node,178823219,bus_stop,Friedhof,HVV,platform,no,KVG,"Adendorf, Dorfstra?e Friedhof",,no,no,,,5007,,,,,,,,,,2020-12-30,,,,,,,,,,,,,,2020-12-30,,,,,,,,,,,,,
node,392592179,bus_stop,Heinrich Heine Siedlung,HVV,platform,no,KVG,"Adendorf, Heinrich Heine Siedlung",5007,5925,AST,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,395382514,bus_stop,An der Bünte,HVV,platform,no,KVG,"Adendorf, An der B?nte",,no,no,,,5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3082975140,bus_stop,Heinrich-Hille-Straße,HVV,platform,yes,KVG,"Adendorf, Heinrich-Hille-Stra?e",,yes,no,,,,,,,,,,,,,2021-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1119349016,bus_stop,Weinbergsweg,HVV,platform,yes,KVG,"Adendorf, Weinbergsweg",,no,no,,,,,,,,yes,,,,yes,2021-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,339316060,bus_stop,"Radenbeck, Linnenkamp",HVV,platform,yes,,,5114,5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9029022165,bus_stop,"Radenbeck, Dorfstraße",HVV,platform,,,,,yes,,,,5362,5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8192691432,bus_stop,Siedlung,HVV,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,376360688,bus_stop,"Brietlingen, Am Sportplatz",,platform,yes,,,5900,ASM,yes,yes,,,,,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3206896896,bus_stop,Goebelstraße,HVV,platform,,KVG,"L?neburg, Goebelstra?e",5005,ASM,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2681822369,bus_stop,"Echem, Schulstraße",,platform,yes,,,5102,5901,5902,5917,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,301562204,bus_stop,Grüner Weg,HVV,platform,no,KVG,"Adendorf, Gr?ner Weg",,no,no,,yes,,,,,,yes,,,,no,,,,Position eingemessen,,,,,,,,,,,,,,,,,,,,,,,,
node,301562172,bus_stop,Lindenweg,HVV,platform,,KVG,"Adendorf, Lindenweg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2362894581,bus_stop,Otto-Brenner-Straße (Kehre),HVV,platform,no,KVG,"L?neburg, Otto-Brenner-Stra?e (Kehre)",5010,no,no,,,5010,,,,,no,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,382011053,bus_stop,"Brietlingen, Stettiner Ring",,platform,yes,,,5903,5904,yes,no,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7207493398,bus_stop,Sternkamp,HVV,platform,no,KVG,"L?neburg, Sternkamp",5002,5402,5405,ASM,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,288004885,bus_stop,Kirchweg,HVV,platform,no,KVG,"Adendorf, Kirchweg",,no,no,,,,,,,,yes,,,,no,2021-02-27,,,Position eingemessen,,,,,,,,,,,,,,,,,,,,,,,,
node,301881047,bus_stop,Bunsenstraße,HVV,platform,yes,KVG,"L?neburg, Bunsenstra?e",,yes,no,,yes,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,275637762,bus_stop,Bachstraße,HVV,platform,no,KVG,"L?neburg, Bachstra?e",,no,no,,yes,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,369971304,bus_stop,Rosenkamp,HVV,platform,,KVG,"L?neburg, Rosenkamp",,yes,yes,,yes,"5007,5920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1602198371,bus_stop,Schmiedestraße,HVV,platform,,KVG,"L?neburg, Schmiedestra?e",,no,,,yes,"5007,5920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,369971275,bus_stop,Rehrweg,HVV,platform,no,KVG,"L?neburg, Rehrweg",,yes,yes,,yes,"5007,5920",,,,,no,,,,,,"Kein Kasseler Bord, aber Hochbord",,,,,,,,,,,,,2021-01-09,,,,,,,,,,,,,
node,452899291,bus_stop,"Wittorf, Wiesenstraße",HVV,platform,yes,KVG,,5402,5405,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,382390323,bus_stop,Volgershall/UNI,HVV,platform,no,KVG,"L?neburg, Volgershall/UNI",,no,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,113588289,bus_stop,Städtisches Klinikum,HVV,platform,yes,KVG,"L?neburg, St?dtisches Klinikum",,yes,no,,yes,"5920, 5003",yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
node,489755257,bus_stop,"Lüdersburg, Kirchtwiete",,platform,no,,,5104,5901,ASM,no,no,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
node,260371872,bus_stop,Abzweigung Jürgenstorf,HVV,platform,,,"L?dersburg, Abzweigung J?rgenstorf",5901,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1524824915,bus_stop,Melbeck Grundschule,HVV,platform,,,,,yes,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,294218205,bus_stop,Gifkendorf,,platform,yes,,,5361,5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,297767103,bus_stop,B 209,HVV,platform,no,,"Artlenburg, B 209",,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,319171756,bus_stop,Gerhart-Hauptmann-Straße,HVV,platform,,KVG,"Reppenstedt, Gerhart Hauptmann Stra?e",5013,5202,ASM,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,355263024,bus_stop,Händelstraße,HVV,platform,,KVG,"Reppenstedt, H?ndelstra?e",5013,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,355265900,bus_stop,Alter Postweg,,platform,,,"Reppenstedt, Alter Postweg",5013,ASM,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,357421278,bus_stop,Lessingstra?e,HVV,platform,,KVG,"Reppenstedt, Lessingstra?e",5013,5202,ASM,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,359603064,bus_stop,Am Fuchsberg,HVV,platform,,KVG,"Reppenstedt, Am Fuchsberg",5013,ASM,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,336245617,bus_stop,Im Westerfelde,HVV,platform,,KVG,"Reppenstedt, Im Westerfelde",5013,ASM,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,301866124,bus_stop,Behördenzentrum (Ost),HVV,platform,,KVG,"L?neburg, Beh?rdenzentrum (Ost)",,yes,no,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,484379283,bus_stop,Psychiatrische Klinik,HVV,platform,,KVG,"L?neburg, Psychiatrische Klinik",5009,ASM,yes,no,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,386775036,bus_stop,Am Bruch,HVV,platform,,KVG,"Bardowick, Am Bruch",5403,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1603400020,bus_stop,Bei der Pferdehütte,HVV,platform,yes,KVG,"L?neburg, Bei der Pferdeh?tte",5005,ASM,yes,no,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,318656446,bus_stop,Alec-Moore-Straße,HVV,platform,no,KVG,"L?neburg, Alec-Moore-Stra?e",,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,89367284,bus_stop,Am Bargenturm,HVV,platform,no,KVG,"L?neburg, Am Bargenturm",,no,no,,yes,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,318404239,bus_stop,Heidkoppelweg,HVV,platform,,KVG,"L?neburg, Heidkoppelweg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,318404242,bus_stop,Memeler Straße,HVV,platform,,KVG,"L?neburg, Memeler Stra?e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,318656460,bus_stop,William-Watt-Straße,HVV,platform,yes,KVG,"L?neburg, William-Watt-Stra?e",,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,281778288,bus_stop,Allensteiner Straße,HVV,platform,,KVG,"L?neburg, Allensteiner Stra?e",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,275642168,bus_stop,"Erbstorf, Wendeplatz",HVV,platform,yes,KVG,"Erbstorf, Wendeplatz",5007,5918,5920,5925,yes,no,yes,yes,,,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
node,178849093,bus_stop,Jüttkenmoor,HVV,platform,no,KVG,"L?neburg, J?ttkenmoor",5015,ASM,no,no,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,419272371,bus_stop,Am Ziegeleiteich,HVV,platform,,KVG,"L?neburg, Am Ziegeleiteich",5015,5901,5918,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
