,bus,highway,lines,name,network,operator,public_transport,ref_name,shelter,wheelchair,latitude,longitude,id,bench,route_ref,tactile_paving,bin,lastcheck,passenger_information_display,name:HVV,lit,check_date:shelter,wheelchair:description,local_ref,covered,note,ref,departures_board,fixme,comment,check_date:tactile_paving,toilets:wheelchair,bicycle_parking,check_date:bench,source,line,surface;;;;;;;;;;;;;;;;;;
0,yes,bus_stop,5605;",Universitätsallee,HVV,KVG,platform,""Lüneburg, Scharnhorststraße (Ost)"",no,yes,53.2300910,10.4052614,270544778,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
"1,,bus_stop,,Bei Mönchsgarten,HVV,KVG,platform,""Lüneburg, Bei Mönchsgarten"",no,limited,53.2529278,10.3904939,293938387,no,5009";ASM,no,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
"34,yes,bus_stop,5014,Theodor-Haubach-Straße,HVV,KVG,platform,""Lüneburg, Theodor-Haubach-Straße"",no,limited,53.2341433,10.4422643,349277062,no,,no,no,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"35,yes,bus_stop,,Theodor-Haubach-Straße,HVV,KVG,platform,""Lüneburg, Theodor-Haubach-Straße"",no,limited,53.2342571,10.4424649,349277066,no,,no,no,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"36,yes,bus_stop,5014,Bülows Kamp,HVV,KVG,platform,""Lüneburg, Bülows Kamp"",yes,,53.2314995,10.4459154,349277070,yes,,no,yes,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"37,yes,bus_stop,5014,Klosterkamp,HVV,KVG,platform,""Lüneburg, Klosterkamp"",yes,,53.2292609,10.4460096,349277075,yes,,no,no,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"38,,bus_stop,5014,Hermann-Wagner-Straße,HVV,KVG,platform,""Lüneburg, Hermann-Wagner-Straße"",no,,53.2288883,10.4441928,349277080,no,,no,yes,20141012,no,,,2021-05-07,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"39,yes,bus_stop,5014,Theodor-Haubach-Straße,HVV,KVG,platform,""Lüneburg, Theodor-Haubach-Straße"",yes,limited,53.2347056,10.4433511,349277083,yes,,no,yes,20141012,no,,yes,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"40,yes,bus_stop,5014,Hinrich-Wilhelm-Kopf-Straße,HVV,KVG,platform,""Lüneburg, Hinrich-Wilhelm-Kopf-Straße"",no,,53.2393598,10.4337268,349277089,no,,no,yes,20141012,no,""Lüneburg, Hinrich-Wilhelm-Kopf-Straße"",,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
41,yes,bus_stop,5010;"5014,Theodor-Heuss-Straße,HVV,KVG,platform,""Lüneburg, Theodor-Heuss-Straße"",no,,53.2462441,10.4326212,349277092,no,,no,yes,20141026,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;
42,yes,bus_stop,5014;5201;5361;5600;5702;" 5920,Venusberg (Johanneum),HVV,KVG,platform,""Lüneburg, Venusberg (Johanneum)"",no,,53.2464494,10.4297024,349277097,no,,yes,yes,20141210,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;
"43,yes,bus_stop,5014,Ziegelkamp,HVV,KVG,platform,""Lüneburg, Ziegelkamp"",no,,53.2476202,10.4275306,349277100,no,,no,no,20141012,no,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;;;;
"44,yes,bus_stop,,Am Sande,HVV,,platform,""Lüneburg, Am Sande A"",yes,yes,53.2477583,10.4107075,364332228,yes,5001";5003;5007;5011;5012;5015;5600;5605;"5700,no,yes,,,""Lüneburg, Am Sande (BereichA)"",yes,,,A,,,,,,,,,,,,,";;;;;;;;;;
"45,yes,bus_stop,,Am Sande,HVV,,platform,""Lüneburg, Am Sande D"",yes,yes,53.2475750,10.4107411,364332233,yes,5005";5007;5011;5014;5015;5300;5304;"5601,no,yes,,,""Lüneburg, Am Sande (Bereich D)"",yes,,,D,,,,,,,,,,,,,";;;;;;;;;;;
