name,x,y,osmid,passengers,cluster
Am Springintgut,10.4002528,53.2521255,178844318,7.0,5.0
Am Graalwall,10.4027651,53.2509053,121149168,7.0,5.0
Neue Sülze,10.4040892,53.2478008,2990731692,10.0,11.0
Lambertiplatz,10.4031072,53.2456516,262253493,12.0,11.0
Rathaus,10.4068106,53.2506572,262229788,5.0,11.0
Kefersteinstraße (UNI),10.4102138,53.2406193,181308509,8.0,13.0
Schützenstraße,10.4452134,53.2035664,5254285882,0.0,
Am Kreideberg,10.4042363,53.255164,181396837,4.0,5.0
Stöteroggestraße (Süd),10.4020549,53.2556211,181396824,6.0,5.0
Boizenburger Straße,10.3989629,53.2574691,500905961,2.0,2.0
Thorner Straße (West),10.3943921,53.2585943,1029618352,5.0,2.0
Thorner Platz,10.3997927,53.2595982,312506373,10.0,2.0
Salzwedeler Straße,10.4032549,53.2606612,253248083,7.0,2.0
Elbinger Straße,10.4028514,53.2627146,312510075,4.0,2.0
Dessauer Straße,10.401462,53.2641491,312510076,8.0,2.0
Magdeburger Straße,10.3993732,53.266558,534870775,3.0,2.0
Stöteroggestraße (Nord),10.3993537,53.2644566,534870781,7.0,2.0
Hasenburger Weg,10.3832526,53.2287752,408449519,6.0,9.0
Lilienthalstraße,10.4599879,53.2437212,1599089598,3.0,6.0
Von-Stern-Straße,10.4625961,53.245733,1599748806,1.0,6.0
Eisenwerk,10.4692372,53.249358,119994771,3.0,6.0
Gebrüder-Heyn-Straße,10.4656699,53.248161,7819577982,2.0,6.0
Hagen-Schule,10.4473637,53.2440639,373161834,2.0,6.0
Wacholderweg,10.4425033,53.2452459,119100610,1.0,7.0
Ahornweg,10.4381585,53.2465445,301874635,5.0,3.0
Landwehr,10.3957654,53.2839468,3060045192,6.0,1.0
Hagemannsweg,10.3983505,53.2810195,454631858,4.0,1.0
Rote Schleuse,10.410347,53.2094935,277399793,3.0,0.0
Bernhard-Riemann-Straße,10.4054578,53.22347,3037235993,4.0,0.0
Kulturforum Wienebüttel,10.3744107,53.2644052,287098768,2.0,2.0
Schwarzer Weg,10.428384,53.2715467,346183779,3.0,3.0
Gut Olm,10.4541438,53.2614926,302310334,5.0,3.0
Abzweigung Ebensberg,10.4600774,53.2637503,7051227607,3.0,3.0
Hölderlinstraße,10.4436723,53.2608865,988590957,3.0,3.0
Ostlandring,10.4399979,53.242081,1736935361,0.0,
Freibad,10.4423226,53.2409945,285670612,6.0,7.0
Goebelstraße,10.4167169,53.26866,3206896896,3.0,5.0
Otto-Brenner-Straße (Kehre),10.4837546,53.2364276,2362894581,2.0,6.0
Sternkamp,10.4057395,53.2669292,7207493398,5.0,11.0
Bunsenstraße,10.4412818,53.2495011,301881047,2.0,3.0
Bachstraße,10.4400425,53.2473918,275637762,2.0,3.0
Rosenkamp,10.3790788,53.2244958,369971304,9.0,9.0
Schmiedestraße,10.3767866,53.2247574,1602198371,3.0,9.0
Rehrweg,10.3725779,53.2263697,369971275,3.0,9.0
Volgershall/UNI,10.3840653,53.249349,382390323,2.0,12.0
Städtisches Klinikum,10.397306,53.2407753,113588289,9.0,12.0
Behördenzentrum (Ost),10.4313902,53.2509696,301866124,5.0,7.0
Psychiatrische Klinik,10.3880794,53.2543494,484379283,5.0,1.0
Bei der Pferdehütte,10.4047332,53.2741646,1603400020,2.0,5.0
Alec-Moore-Straße,10.3812801,53.2465139,318656446,7.0,14.0
Am Bargenturm,10.3985975,53.2452478,89367284,10.0,12.0
Heidkoppelweg,10.4689526,53.2613986,318404239,1.0,3.0
Memeler Straße,10.4680489,53.2602671,318404242,4.0,3.0
William-Watt-Straße,10.38069,53.2448537,318656460,3.0,14.0
Allensteiner Straße,10.463416,53.2641335,281778288,4.0,3.0
Jüttkenmoor,10.3849708,53.2479273,178849093,3.0,12.0
Am Ziegeleiteich,10.4720436,53.2599796,419272371,6.0,3.0
Steinweg,10.4425957,53.2755805,430344880,0.0,
Friedrich-Ludwig-Jahn-Straße,10.4083952,53.235035,7607589705,2.0,13.0
Rotes Tor,10.4097351,53.2437968,111246659,6.0,13.0
Goethestraße,10.4104754,53.2351006,195848633,6.0,13.0
Hagen Wendeplatz,10.4519518,53.2428075,208986248,3.0,6.0
Hopfengarten,10.4278875,53.2510849,317279940,10.0,7.0
Wielandstraße,10.4108562,53.2377319,268638460,9.0,13.0
Hans-Steffens-Weg,10.4349723,53.2509447,120036482,4.0,10.0
Gaußstraße,10.4047485,53.222771,322053497,4.0,0.0
