,element_type,osmid,x,y,geometry,passengers,cluster,name
125,node,1116593369,10.4689526,53.2613986,POINT (10.4689526 53.2613986),1,13,Heidkoppelweg
126,node,1116593371,10.4680489,53.2602671,POINT (10.4680489 53.2602671),4,13,Memeler Straße
127,node,1116593375,10.38069,53.2448537,POINT (10.38069 53.2448537),3,14,William-Watt-Straße
128,node,1116593381,10.463416,53.2641335,POINT (10.463416 53.2641335),4,13,Allensteiner Straße
129,node,1116593396,10.3849708,53.2479273,POINT (10.3849708 53.2479273),3,13,Jüttkenmoor
130,node,1116593409,10.4720436,53.2599796,POINT (10.4720436 53.2599796),6,13,Am Ziegeleiteich
131,node,1156522335,10.4425957,53.2755805,POINT (10.4425957 53.2755805),0,,Steinweg
132,node,1181280550,10.4083952,53.235035,POINT (10.4083952 53.235035),2,0,Friedrich-Ludwig-Jahn-Straße
133,node,1181280590,10.4097351,53.2437968,POINT (10.4097351 53.2437968),6,2,Rotes Tor
134,node,1181280625,10.4104754,53.2351006,POINT (10.4104754 53.2351006),6,0,Goethestraße
135,node,1181280845,10.4519518,53.2428075,POINT (10.4519518 53.2428075),3,4,Hagen Wendeplatz
136,node,1181280913,10.4278875,53.2510849,POINT (10.4278875 53.2510849),10,3,Hopfengarten
137,node,1181280956,10.4108562,53.2377319,POINT (10.4108562 53.2377319),9,0,Wielandstraße
138,node,1181280963,10.4349723,53.2509447,POINT (10.4349723 53.2509447),4,3,Hans-Steffens-Weg
139,node,1181280987,10.4047485,53.222771,POINT (10.4047485 53.222771),4,5,Gaußstraße
140,node,1181281148,10.4039471,53.2267352,POINT (10.4039471 53.2267352),5,5,Heinrich-Böll-Straße
141,node,1187269501,10.4015929,53.2275296,POINT (10.4015929 53.2275296),5,9,Carl-von-Ossietzky-Straße
142,node,1195426701,10.478437,53.2423045,POINT (10.478437 53.2423045),5,3,Otto-Brenner-Straße
143,node,1195426702,10.4592049,53.2448717,POINT (10.4592049 53.2448717),7,3,Flugplatz
144,node,1195426707,10.4459578,53.2455633,POINT (10.4459578 53.2455633),5,3,Walter-Bötcher-Straße
145,node,1195426708,10.4492537,53.2461948,POINT (10.4492537 53.2461948),3,3,Stadtkoppel
146,node,1195426715,10.4778019,53.2402935,POINT (10.4778019 53.2402935),2,4,Kurt-Höbold-Straße
147,node,1195426718,10.4429666,53.2447657,POINT (10.4429666 53.2447657),2,3,Richard-Brauer-Straße
148,node,1195426726,10.477347,53.2465791,POINT (10.477347 53.2465791),5,3,Elso-Klöver-Straße
149,node,1195426727,10.4300483,53.2478555,POINT (10.4300483 53.2478555),8,4,Gellersstraße
150,node,1195426730,10.4760492,53.2390287,POINT (10.4760492 53.2390287),8,4,Wilhelm-Fressel-Straße
151,node,1321746678,10.3914278,53.2407532,POINT (10.3914278 53.2407532),3,6,Schildsteinweg
152,node,1348734466,10.4121817,53.2554488,POINT (10.4121817 53.2554488),4,9,Finanzamt
