,element_type,osmid,highway,name,network,public_transport,geometry,bench,operator,ref_name,route_ref,shelter,tactile_paving,bicycle_parking,bus,lines,wheelchair,designation,local_ref,source,bin,lastcheck,passenger_information_display,name:HVV,lit,check_date:shelter,wheelchair:description,covered,note,ref,departures_board,fixme,removed:ref_name,network:wikidata,network:wikipedia,description,comment,name:note,toilets:wheelchair,check_date:tactile_paving,level,network:short,name:description,line,check_date:bench,amenity,loc_name,railway,name:source,shelter:description,surface,nodes,layer,x,y
0,node,1830066645,bus_stop,Abzweigung Bennerstedt,HVV,platform,POINT (10.4869702 53.3146462),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4869702,53.3146462
1,node,8523611360,bus_stop,Lüneburger Straße,HVV,platform,POINT (10.5227006 53.2288511),yes,KVG,"Barendorf, Lüneburger Straße",5300;5361;5362;AST,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5227006,53.2288511
3,node,4363687998,bus_stop,"Karze, An den Hauskoppeln",HVV,platform,POINT (10.6739869 53.314295),yes,VOG,,5104;5111;5152-ASM,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6739869,53.314295
4,node,175237700,bus_stop,Universitätsallee,HVV,platform,POINT (10.4052614 53.230091),,KVG,"Lüneburg, Scharnhorststraße (Ost)",,no,,,yes,5605;,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4052614,53.230091
6,node,957142825,bus_stop,"Artlenburg, Grünstraße",HVV,platform,POINT (10.4921805 53.3719336),yes,,,,yes,,,,,,Grünstr.,Grünstr.,seb1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4921805,53.3719336
7,node,293938369,bus_stop,Bei Mönchsgarten,HVV,platform,POINT (10.3904939 53.2529278),no,KVG,"Lüneburg, Bei Mönchsgarten",5009;ASM,no,no,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3904939,53.2529278
8,node,298511484,bus_stop,Hermann-Löns-Straße,HVV,platform,POINT (10.4357546 53.2611082),,KVG,"Lüneburg, Hermann Löns Straße",,yes,,,yes,5015; 5110; 5901; 5918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4357546,53.2611082
10,node,114241120,bus_stop,Wilhelm-Leuschner-Straße,HVV,platform,POINT (10.4442936 53.236347),yes,KVG,"Lüneburg, Wilhelm-Leuschner-Straße",,yes,no,,yes,5011;5014,limited,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4442936,53.236347
11,node,1459109815,bus_stop,Graf-von-Moltke-Straße,HVV,platform,POINT (10.4385436 53.2372693),yes,KVG,"Lüneburg, Graf-von-Moltke-Straße",,yes,yes,,yes,5011;5014,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4385436,53.2372693
12,node,414692562,bus_stop,St.-Stephanus-Platz,HVV,platform,POINT (10.4347836 53.2385554),yes,KVG,"Lüneburg, St.-Stephanus-Platz",,yes,yes,,yes,5011;5014;5300;5361;5362:5405;5700;5920;5120,yes,,,,yes,20141012,no,"Lüneburg, St.-Stephanus-Platz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4347836,53.2385554
13,node,7960254627,bus_stop,Konrad-Adenauer-Straße,HVV,platform,POINT (10.4319275 53.2377656),yes,KVG,"Lüneburg, Konrad-Adenauer-Straße",,no,yes,,yes,5011;5601,,,,,yes,20141012,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4319275,53.2377656
14,node,275404815,bus_stop,Waldfriedhof,HVV,platform,POINT (10.429653 53.2361294),yes,KVG,"Lüneburg, Waldfriedhof",,yes,no,,yes,5011,yes,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.429653,53.2361294
15,node,1872332223,bus_stop,Schäferfeld,HVV,platform,POINT (10.4287246 53.2378491),no,KVG,"Lüneburg, Schäferfeld",,no,no,,yes,5011,,,,,yes,20141012,no,"Lüneburg, Schäferfeld",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4287246,53.2378491
16,node,279632687,bus_stop,Kurt-Schumacher-Straße,HVV,platform,POINT (10.4269383 53.2401354),no,KVG,"Lüneburg, Kurt-Schuhmacher-Straße",,no,no,,yes,5011,,,,,yes,20141012,no,"Lüneburg, Kurt-Schumacher-Straße",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4269383,53.2401354
17,node,307769211,bus_stop,Blümchensaal,HVV,platform,POINT (10.4230445 53.2433336),no,KVG,"Lüneburg, Blümchensaal",,no,no,,,5011,,,,,no,20141012,no,"Lüneburg, Blümchensaal",,2021-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4230445,53.2433336
18,node,1053737986,bus_stop,Theodor-Heuss-Straße,HVV,platform,POINT (10.4329576 53.2462219),yes,KVG,"Lüneburg, Theodor-Heuss-Straße",,yes,no,,yes,5010; 5014,,,,,yes,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4329576,53.2462219
19,node,301861007,bus_stop,Venusberg (Johanneum),HVV,platform,POINT (10.4303141 53.2465477),yes,KVG,"Lüneburg, Venusberg (Johanneum)",,yes,no,,yes,5014; 5361; 5362; 5405; 5920; 5620; 5700,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4303141,53.2465477
20,node,301860995,bus_stop,Ziegelkamp,HVV,platform,POINT (10.4276158 53.2474105),yes,KVG,"Lüneburg, Ziegelkamp",,yes,yes,,yes,5014,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4276158,53.2474105
21,node,201192065,bus_stop,Am Schützenplatz,HVV,platform,POINT (10.4236403 53.2487451),no,KVG,"Lüneburg, Am Schützenplatz",,no,no,,yes,5007;5010;5011;5012;5014;5015;5100;5110;5300;5361;5901;5918;5920,,,,,yes,20141026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4236403,53.2487451
22,node,309164430,bus_stop,"Deutsch Evern, Triftstraße",,platform,POINT (10.4383763 53.2028361),,,,5020;5606;ASM,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4383763,53.2028361
23,node,272771855,bus_stop,Becklingen,,platform,POINT (10.638701 53.1685565),,,,5303,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.638701,53.1685565
24,node,311743901,bus_stop,"Radbruch, Schäfer-Ast-Straße",,platform,POINT (10.2858188 53.3115371),,,,5403,yes,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2858188,53.3115371
25,node,4133634392,bus_stop,"Thomasburg, Radenbecker Weg",,platform,POINT (10.6537654 53.2297167),,,,5114;5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6537654,53.2297167
26,node,313574492,bus_stop,Abzweig Dumstorf,HVV,platform,POINT (10.6967738 53.1893837),yes,KVG,"Dahlenburg, Abzweig Dumstorf",5300;5304,yes,no,,,,,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6967738,53.1893837
27,node,3790432850,bus_stop,"Köstorf, Abzw. Barskamp",,platform,POINT (10.7566624 53.2330487),,,,5103,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7566624,53.2330487
28,node,1713950571,bus_stop,Abzweig Radenbeck,HVV,platform,POINT (10.6206885 53.2012926),yes,,"Radenbeck, Abzweig Radenbeck",,yes,no,,,"5300, 5304, 5361",,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6206885,53.2012926
30,node,369792808,bus_stop,Mitte / B216,HVV,platform,POINT (10.6378781 53.1973134),yes,KVG,"Bavendorf, Mitte / B216",5300;5304;5361,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6378781,53.1973134
31,node,319989751,bus_stop,Breetzer Straße,HVV,platform,POINT (10.7248594 53.2821702),,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7248594,53.2821702
32,node,276915521,bus_stop,Wichernstraße,HVV,platform,POINT (10.397792 53.2268409),,KVG,"Lüneburg, Wichernstraße",,,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.397792,53.2268409
33,node,1690093376,bus_stop,Anna-Vogeley-Heim,HVV,platform,POINT (10.3984829 53.2251001),,KVG,"Lüneburg, Anna-Vogeley-Heim",,,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3984829,53.2251001
34,node,1690093389,bus_stop,Am Elsenbruch,HVV,platform,POINT (10.4012942 53.2245326),,KVG,"Lüneburg, Am Elsenbruch",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4012942,53.2245326
35,node,322053789,bus_stop,Röntgenstraße / Kirche,HVV,platform,POINT (10.4024801 53.2227054),,KVG,"Lüneburg, Röntgenstraße (Kirche)",,,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4024801,53.2227054
36,node,322051827,bus_stop,Röntgenstraße,HVV,platform,POINT (10.4028648 53.2207693),,KVG,"Lüneburg, Röntgenstraße",,,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4028648,53.2207693
37,node,322053484,bus_stop,Planckstraße,HVV,platform,POINT (10.404717 53.2192047),,KVG,"Lüneburg, Planckstraße",,,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.404717,53.2192047
38,node,323130818,bus_stop,Neetzebrücke,HVV,platform,POINT (10.6150702 53.2650616),,KVG,"Neetze, Neetzebrücke",5100;5110,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6150702,53.2650616
40,node,333248611,bus_stop,Reichenbachplatz,HVV,platform,POINT (10.4106941 53.2531248),yes,KVG,"Lüneburg, Reichenbachplatz",,yes,yes,,yes,,yes,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4106941,53.2531248
41,node,332606128,bus_stop,Bürgeramt,HVV,platform,POINT (10.4092892 53.2522431),no,KVG,"Lüneburg, Bürgeramt",,no,yes,,yes,5002; 5010; 5014,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4092892,53.2522431
43,node,336363945,bus_stop,"Radenbeck, Siedlung",HVV,platform,POINT (10.6264241 53.2178751),,,,,,,,,5362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6264241,53.2178751
44,node,314666239,bus_stop,Markt,HVV,platform,POINT (10.7418278 53.1870816),,,"Dahlenburg, Markt",5103;5300;5301;5302;5303;5304;5362,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7418278,53.1870816
46,node,317179812,bus_stop,Meisterweg,HVV,platform,POINT (10.4317204 53.2599086),,KVG,"Lüneburg, Meisterweg",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4317204,53.2599086
48,node,705465966,bus_stop,Hansestraße,HVV,platform,POINT (10.4261391 53.2555935),yes,KVG,"Lüneburg, Hansestraße",,yes,yes,,yes,5015,,,,,yes,20141213,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4261391,53.2555935
50,node,296886493,bus_stop,Henningstraße,HVV,platform,POINT (10.4233245 53.2525633),,KVG,"Lüneburg, Henningstraße",,,,,yes,5007; 5015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4233245,53.2525633
52,node,201192013,bus_stop,Pulverweg (Nord),HVV,platform,POINT (10.422458 53.2511748),,KVG,"Lüneburg, Pulverweg Nord",,no,no,,yes,5007; 5012; 5015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.422458,53.2511748
61,node,274309813,bus_stop,Theodor-Haubach-Straße,HVV,platform,POINT (10.4422643 53.2341433),no,KVG,"Lüneburg, Theodor-Haubach-Straße",,no,no,,yes,5014,limited,,,,no,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4422643,53.2341433
63,node,114240790,bus_stop,Bülows Kamp,HVV,platform,POINT (10.4459154 53.2314995),yes,KVG,"Lüneburg, Bülows Kamp",,yes,no,,yes,5014,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4459154,53.2314995
64,node,414685401,bus_stop,Klosterkamp,HVV,platform,POINT (10.4460096 53.2292609),yes,KVG,"Lüneburg, Klosterkamp",,yes,no,,yes,5014,,,,,no,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4460096,53.2292609
65,node,1249144962,bus_stop,Hermann-Wagner-Straße,HVV,platform,POINT (10.4441928 53.2288883),no,KVG,"Lüneburg, Hermann-Wagner-Straße",,no,no,,,5014,,,,,yes,20141012,no,,,2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4441928,53.2288883
67,node,282853219,bus_stop,Hinrich-Wilhelm-Kopf-Straße,HVV,platform,POINT (10.4337268 53.2393598),no,KVG,"Lüneburg, Hinrich-Wilhelm-Kopf-Straße",,no,no,,yes,5014,,,,,yes,20141012,no,"Lüneburg, Hinrich-Wilhelm-Kopf-Straße",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4337268,53.2393598
71,node,452997887,bus_stop,"Handorf, Grundschule",HVV,platform,POINT (10.3467072 53.3419322),no,KVG,,5402;ASM,no,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3467072,53.3419322
72,node,2301671297,bus_stop,Im Kirchfelde,HVV,platform,POINT (10.3196032 53.2800856),yes,,"Mechtersen, Im Kirchfelde",5009;5404,yes,no,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3196032,53.2800856
73,node,292157701,bus_stop,"Barum, Am Sportplatz",HVV,platform,POINT (10.4088761 53.3509372),no,KVG,"Barum, Am Sportplatz",5405,no,no,,,,,,,,no,,,,,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4088761,53.3509372
75,node,4013236506,bus_stop,Am Sande,HVV,platform,POINT (10.4107075 53.2477583),yes,,"Lüneburg, Am Sande A",5001;5003;5007;5011;5012;5015;5600;5605;5700,yes,no,,yes,,yes,,A,,yes,,,"Lüneburg, Am Sande (BereichA)",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4107075,53.2477583
79,node,7173992955,bus_stop,Oedeme Dorf,HVV,platform,POINT (10.3769693 53.228942),yes,KVG,"Lüneburg, Oedeme Dorf",5007;5201;5203;ASM,yes,no,,,,,,,,yes,,,,,2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3769693,53.228942
81,node,374359791,bus_stop,Im Kamp,HVV,platform,POINT (10.3850765 53.2222253),no,KVG,"Lüneburg, Im Kamp",5007;5920;ASM,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3850765,53.2222253
82,node,276915516,bus_stop,Scharnhorststraße/DJH,HVV,platform,POINT (10.3971229 53.2300297),,KVG,"Lüneburg, Scharnhorststraße/DJH",,no,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3971229,53.2300297
83,node,1658400344,bus_stop,Blücherstraße,HVV,platform,POINT (10.4000814 53.2311691),yes,KVG,"Lüneburg, Blücherstraße",,yes,yes,,yes,5011;5012;5600;5605,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,10.4000814,53.2311691
84,node,249238920,bus_stop,Imkerstieg,HVV,platform,POINT (10.388762 53.2746341),yes,KVG,"Lüneburg, Imkerstieg",5005;ASM,yes,no,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.388762,53.2746341
85,node,387439255,bus_stop,Neue Straße,HVV,platform,POINT (10.431328 53.274525),no,KVG,"Adendorf, Neue Straße",,no,no,,yes,5006; 5007,,,,,,,,,,2021-05-22,,,Position eingemessen,618398,,,,,,,,,,,,,,,,,,,,,,,,10.431328,53.274525
86,node,546443116,bus_stop,Danziger Weg,HVV,platform,POINT (10.4383568 53.2816633),yes,KVG,"Adendorf, Danziger Weg",,yes,yes,,,,,,,,,,,,no,2021-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4383568,53.2816633
87,node,268638584,bus_stop,MTV-Platz,HVV,platform,POINT (10.4049563 53.2353498),yes,KVG,"Lüneburg, MTV-Platz",,yes,no,,yes,,,,,,yes,,,,yes,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4049563,53.2353498
88,node,111246549,bus_stop,Kurpark,HVV,platform,POINT (10.4043801 53.2384105),yes,KVG,"Lüneburg, Kurpark",,no,no,,yes,5011,,,,,yes,,,,no,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4043801,53.2384105
90,node,114242620,bus_stop,Uelzener Straße (Kurzentrum),HVV,platform,POINT (10.4044333 53.2404345),yes,KVG,"Lüneburg, Uelzener Straße (Kurzentrum)",,no,no,,yes,,yes,,,,yes,,,,no,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4044333,53.2404345
91,node,305382797,bus_stop,Munstermannskamp,HVV,platform,POINT (10.4052689 53.232103),,KVG,"Lüneburg, Munstermannskamp",,yes,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4052689,53.232103
92,node,402986884,bus_stop,Osterwiese,HVV,platform,POINT (10.3746107 53.2148267),yes,KVG,"Lüneburg, Osterwiese",,yes,no,,,5011;5203;5920,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3746107,53.2148267
93,node,403012178,bus_stop,Klosterweg,HVV,platform,POINT (10.371994 53.2117385),yes,KVG,"Lüneburg, Klosterweg",,yes,no,,,5011;5203;5920,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.371994,53.2117385
94,node,3348587797,bus_stop,Ginsterweg,HVV,platform,POINT (10.3959836 53.2326736),no,KVG,"Lüneburg, Ginsterweg",,no,no,,yes,"5007, 5700",,,,,yes,,,,,,Kein Kasseler Bord,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3959836,53.2326736
95,node,1057013365,bus_stop,Am Schwalbenberg,HVV,platform,POINT (10.4223308 53.2459133),yes,KVG,"Lüneburg, Am Schwalbenberg",,yes,no,,yes,5011;5600,,,,,yes,20141012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4223308,53.2459133
97,node,262253660,bus_stop,Wallstraße (Theater),HVV,platform,POINT (10.4072015 53.245682),yes,KVG,"Lüneburg, Wallstraße (Theater)",,yes,yes,,yes,5002;5003;5005;5007;5009;5010;5011;5013;5014;5015;5200;5202;5405;5600;5601;5605;5606;5700;5702,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4072015,53.245682
98,node,539018433,bus_stop,Postamt,HVV,platform,POINT (10.4038332 53.2429593),yes,KVG,"Lüneburg, Postamt",,yes,no,,yes,5003;5007;5011;5300,,,,,yes,,,,yes,2021-06-13,Kein Kasseler Bord vorhanden,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4038332,53.2429593
102,node,297426712,bus_stop,Hasenburg,HVV,platform,POINT (10.3940989 53.2255233),,KVG,"Lüneburg, Hasenburg",,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3940989,53.2255233
104,node,389948830,bus_stop,Eintracht Sportplatz,HVV,platform,POINT (10.3854737 53.2211913),yes,KVG,"Lüneburg, Eintracht Sportplatz",5011;5203;5700;5920;ASM,yes,no,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3854737,53.2211913
106,node,402916911,bus_stop,Am Bahnhof Rettmer,HVV,platform,POINT (10.3816755 53.21947),no,KVG,"Lüneburg, Am Bahnhof Rettmer",,no,no,,,5011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3816755,53.21947
107,node,403012164,bus_stop,Wiesengrund,HVV,platform,POINT (10.3746747 53.2134269),no,KVG,"Lüneburg, Wiesengrund",,no,no,,,5011;5203;5920,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3746747,53.2134269
108,node,2618162533,bus_stop,Pilgerpfad,HVV,platform,POINT (10.3783934 53.2099019),yes,KVG,"Lüneburg, Pilgerpfad",5003;5011;5203;5921;5922;ASM,yes,no,,,,no,,,,yes,,,,yes,,Stufe in den Bus sind recht hoch,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3783934,53.2099019
109,node,7799257024,bus_stop,Am Wischfeld,HVV,platform,POINT (10.3882696 53.2112187),yes,KVG,"Lüneburg, Am Wischfeld",,yes,yes,,,5011;5203;5920;ASM,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3882696,53.2112187
110,node,3267192184,bus_stop,Hessenweg (Mitte),HVV,platform,POINT (10.3879839 53.2138366),yes,KVG,"Lüneburg, Hessenweg (Mitte)",5003;5011;5203;5921;5922;ASM,yes,no,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3879839,53.2138366
111,node,393498311,bus_stop,Am Bäckfeld,HVV,platform,POINT (10.3886319 53.2166547),yes,KVG,"Lüneburg, Am Bäckfeld Post",5003;5011;5203;5921;5922;ASM,yes,no,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3886319,53.2166547
112,node,402916874,bus_stop,Häcklinger Weg,HVV,platform,POINT (10.387037 53.2197354),no,KVG,"Lüneburg, Häcklinger Weg",5011;5203;5921;5922;ASM,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.387037,53.2197354
114,node,353270704,bus_stop,B 4 Parkplatz,HVV,platform,POINT (10.345182 53.3345096),no,KVG,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.345182,53.3345096
115,node,268415869,bus_stop,Stadttheater,HVV,platform,POINT (10.4076949 53.2439859),yes,KVG,"Lüneburg, Stadttheater",,yes,no,,yes,5201,yes,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4076949,53.2439859
117,node,2907063685,bus_stop,Sültenweg,HVV,platform,POINT (10.3929476 53.244192),,KVG,"Lüneburg, Sültenweg",5015;5919;ASM,no,no,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3929476,53.244192
119,node,318640483,bus_stop,Am Grasweg,HVV,platform,POINT (10.3881566 53.2461189),no,KVG,"Lüneburg, Am Grasweg",5015;5919;ASM,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3881566,53.2461189
120,node,382390327,bus_stop,Jägerstraße,HVV,platform,POINT (10.3847644 53.2489566),no,KVG,"Lüneburg, Jägerstraße",,no,no,,yes,5919,,,,,yes,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,10.3847644,53.2489566
121,node,268233024,bus_stop,Johanna-Stegen-Straße,HVV,platform,POINT (10.3874009 53.2494991),yes,KVG,"Lüneburg, Johanna-Stegen-Straße",,yes,no,,yes,5013;5200;5202;5919,yes,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3874009,53.2494991
122,node,178848802,bus_stop,Vor dem Neuen Tore,HVV,platform,POINT (10.3924213 53.2500778),no,KVG,"Lüneburg, Vor dem Neuen Tore",,no,no,,,5013;5202;5919,,,,,,,,,,2020-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3924213,53.2500778
123,node,828077495,bus_stop,Dörnbergstraße,HVV,platform,POINT (10.3938125 53.2511306),no,KVG,"Lüneburg, Dörnbergstraße",,no,no,,yes,5009;5919,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3938125,53.2511306
124,node,308648777,bus_stop,Witzendorffstraße,HVV,platform,POINT (10.3923654 53.2565779),,KVG,"Lüneburg, Witzendorffstraße",5005;5402;5404;ASM,no,,,,,yes,,,,,,,,,,,,,,,Position ist nicht exakt ..,,,,,,,,,,,,,,,,,,,,,,10.3923654,53.2565779
125,node,4827722223,bus_stop,Ebelingweg,HVV,platform,POINT (10.3911893 53.2614652),,KVG,"Lüneburg, Ebelingweg",,no,no,,yes,5005;5919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3911893,53.2614652
127,node,414191921,bus_stop,Naruto-Straße,HVV,platform,POINT (10.3852786 53.2693964),,KVG,"Lüneburg, Naruto-Straße",5005;5919;ASM,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3852786,53.2693964
128,node,381911675,bus_stop,Krähornsberg,HVV,platform,POINT (10.3867792 53.2706226),,KVG,"Lüneburg, Krähornsberg",5005;5919;ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3867792,53.2706226
131,node,414237511,bus_stop,Teilfeld,HVV,platform,POINT (10.3895463 53.2794573),yes,KVG,"Lüneburg, Teilfeld",5005;ASM,yes,no,,,,yes,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3895463,53.2794573
132,node,2371152648,bus_stop,Wilhelm-Hänel-Weg,HVV,platform,POINT (10.4044742 53.2699592),yes,KVG,"Lüneburg, Wilhelm-Hänel-Weg",,yes,,,yes,5002;5405;5402;5404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4044742,53.2699592
134,node,317133890,bus_stop,Am Wildgehege,HVV,platform,POINT (10.3891011 53.2686373),,KVG,"Lüneburg, Am Wildgehege",,,,,yes,5005;5919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3891011,53.2686373
136,node,1037002221,bus_stop,Laffertstraße,HVV,platform,POINT (10.3930618 53.255513),,KVG,"Lüneburg, Laffertstraße",,,,,yes,5005;5402;5405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3930618,53.255513
137,node,293976961,bus_stop,Schomakerstraße,HVV,platform,POINT (10.3996894 53.2540821),no,KVG,"Lüneburg, Schomakerstraße",5005;ASM,no,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3996894,53.2540821
138,node,178844318,bus_stop,Am Springintgut,HVV,platform,POINT (10.4002528 53.2521255),,KVG,"Lüneburg, Am Springintgut",,no,,,yes,"5005, 5013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4002528,53.2521255
139,node,121149168,bus_stop,Am Graalwall,HVV,platform,POINT (10.4027651 53.2509053),yes,KVG,"Lüneburg, Am Graalwall",,yes,yes,,yes,5005;5009;5013;5200;5202,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4027651,53.2509053
140,node,2990731692,bus_stop,Neue Sülze,HVV,platform,POINT (10.4040892 53.2478008),yes,KVG,"Lüneburg, Neue Sülze",,yes,no,,yes,5002;5005;5009;5010;5013;5014;5200;5202;5405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4040892,53.2478008
