,name,element_type,osmid,x,y,geometry,passengers,cluster
92,Lilienthalstraße,node,471792857,10.4599879,53.2437212,POINT (10.4599879 53.2437212),3,1.0
93,Von-Stern-Straße,node,471794057,10.4625961,53.245733,POINT (10.4625961 53.245733),1,1.0
94,Eisenwerk,node,471794059,10.4692372,53.249358,POINT (10.4692372 53.249358),3,1.0
95,Gebrüder-Heyn-Straße,node,471796358,10.4656699,53.248161,POINT (10.4656699 53.248161),2,1.0
96,Hagen-Schule,node,471796360,10.4473637,53.2440639,POINT (10.4473637 53.2440639),2,3.0
97,Wacholderweg,node,471796939,10.4425033,53.2452459,POINT (10.4425033 53.2452459),1,1.0
98,Ahornweg,node,475959143,10.4381585,53.2465445,POINT (10.4381585 53.2465445),5,1.0
99,Landwehr,node,522791942,10.3957654,53.2839468,POINT (10.3957654 53.2839468),6,15.0
100,Hagemannsweg,node,522795523,10.3983505,53.2810195,POINT (10.3983505 53.2810195),4,15.0
101,Rote Schleuse,node,538482515,10.410347,53.2094935,POINT (10.410347 53.2094935),3,4.0
102,Bernhard-Riemann-Straße,node,538482521,10.4054578,53.22347,POINT (10.4054578 53.22347),4,4.0
103,Kulturforum Wienebüttel,node,574834364,10.3744107,53.2644052,POINT (10.3744107 53.2644052),2,9.0
104,Schwarzer Weg,node,595316447,10.428384,53.2715467,POINT (10.428384 53.2715467),3,13.0
105,Gut Olm,node,596510627,10.4541438,53.2614926,POINT (10.4541438 53.2614926),5,6.0
106,Abzweigung Ebensberg,node,596510630,10.4600774,53.2637503,POINT (10.4600774 53.2637503),3,6.0
107,Hölderlinstraße,node,598165240,10.4436723,53.2608865,POINT (10.4436723 53.2608865),3,6.0
108,Ostlandring,node,734659529,10.4399979,53.242081,POINT (10.4399979 53.242081),0,
109,Freibad,node,734659530,10.4423226,53.2409945,POINT (10.4423226 53.2409945),6,3.0
110,Goebelstraße,node,795056872,10.4167169,53.26866,POINT (10.4167169 53.26866),3,13.0
111,Otto-Brenner-Straße (Kehre),node,818722480,10.4837546,53.2364276,POINT (10.4837546 53.2364276),2,1.0
112,Sternkamp,node,869281373,10.4057395,53.2669292,POINT (10.4057395 53.2669292),5,13.0
113,Bunsenstraße,node,871730916,10.4412818,53.2495011,POINT (10.4412818 53.2495011),2,1.0
114,Bachstraße,node,871731608,10.4400425,53.2473918,POINT (10.4400425 53.2473918),2,1.0
115,Rosenkamp,node,902415882,10.3790788,53.2244958,POINT (10.3790788 53.2244958),9,2.0
116,Schmiedestraße,node,902415888,10.3767866,53.2247574,POINT (10.3767866 53.2247574),3,2.0
117,Rehrweg,node,902415900,10.3725779,53.2263697,POINT (10.3725779 53.2263697),3,2.0
118,Volgershall/UNI,node,915967687,10.3840653,53.249349,POINT (10.3840653 53.249349),2,10.0
119,Städtisches Klinikum,node,924513262,10.397306,53.2407753,POINT (10.397306 53.2407753),9,5.0
120,Behördenzentrum (Ost),node,1039463414,10.4313902,53.2509696,POINT (10.4313902 53.2509696),5,1.0
121,Psychiatrische Klinik,node,1048704480,10.3880794,53.2543494,POINT (10.3880794 53.2543494),5,10.0
122,Bei der Pferdehütte,node,1108268733,10.4047332,53.2741646,POINT (10.4047332 53.2741646),2,13.0
123,Alec-Moore-Straße,node,1116593359,10.3812801,53.2465139,POINT (10.3812801 53.2465139),7,13.0
124,Am Bargenturm,node,1116593365,10.3985975,53.2452478,POINT (10.3985975 53.2452478),10,5.0
125,Heidkoppelweg,node,1116593369,10.4689526,53.2613986,POINT (10.4689526 53.2613986),1,6.0
126,Memeler Straße,node,1116593371,10.4680489,53.2602671,POINT (10.4680489 53.2602671),4,6.0
127,William-Watt-Straße,node,1116593375,10.38069,53.2448537,POINT (10.38069 53.2448537),3,13.0
128,Allensteiner Straße,node,1116593381,10.463416,53.2641335,POINT (10.463416 53.2641335),4,6.0
129,Jüttkenmoor,node,1116593396,10.3849708,53.2479273,POINT (10.3849708 53.2479273),3,10.0
130,Am Ziegeleiteich,node,1116593409,10.4720436,53.2599796,POINT (10.4720436 53.2599796),6,6.0
131,Steinweg,node,1156522335,10.4425957,53.2755805,POINT (10.4425957 53.2755805),0,
132,Friedrich-Ludwig-Jahn-Straße,node,1181280550,10.4083952,53.235035,POINT (10.4083952 53.235035),2,11.0
133,Rotes Tor,node,1181280590,10.4097351,53.2437968,POINT (10.4097351 53.2437968),6,2.0
134,Goethestraße,node,1181280625,10.4104754,53.2351006,POINT (10.4104754 53.2351006),6,11.0
135,Hagen Wendeplatz,node,1181280845,10.4519518,53.2428075,POINT (10.4519518 53.2428075),3,3.0
