,Unnamed: 0,element_type,osmid,x,y,geometry,passengers,cluster,name
100,281,node,522795523,10.3983505,53.2810195,POINT (10.3983505 53.2810195),3,12,Hagemannsweg
101,298,node,538482515,10.410347,53.2094935,POINT (10.410347 53.2094935),4,3,Rote Schleuse
102,301,node,538482521,10.4054578,53.22347,POINT (10.4054578 53.22347),8,2,Bernhard-Riemann-Straße
103,319,node,574834364,10.3744107,53.2644052,POINT (10.3744107 53.2644052),5,7,Kulturforum Wienebüttel
104,324,node,595316447,10.428384,53.2715467,POINT (10.428384 53.2715467),6,14,Schwarzer Weg
105,325,node,596510627,10.4541438,53.2614926,POINT (10.4541438 53.2614926),4,13,Gut Olm
106,327,node,596510630,10.4600774,53.2637503,POINT (10.4600774 53.2637503),8,14,Abzweigung Ebensberg
107,331,node,598165240,10.4436723,53.2608865,POINT (10.4436723 53.2608865),6,13,Hölderlinstraße
108,371,node,734659529,10.4399979,53.242081,POINT (10.4399979 53.242081),4,5,Ostlandring
109,372,node,734659530,10.4423226,53.2409945,POINT (10.4423226 53.2409945),4,5,Freibad
110,394,node,795056872,10.4167169,53.26866,POINT (10.4167169 53.26866),1,12,Goebelstraße
111,399,node,818722480,10.4837546,53.2364276,POINT (10.4837546 53.2364276),5,1,Otto-Brenner-Straße (Kehre)
112,402,node,869281373,10.4057395,53.2669292,POINT (10.4057395 53.2669292),4,12,Sternkamp
113,405,node,871730916,10.4412818,53.2495011,POINT (10.4412818 53.2495011),3,1,Bunsenstraße
114,406,node,871731608,10.4400425,53.2473918,POINT (10.4400425 53.2473918),1,1,Bachstraße
115,409,node,902415882,10.3790788,53.2244958,POINT (10.3790788 53.2244958),5,2,Rosenkamp
116,410,node,902415888,10.3767866,53.2247574,POINT (10.3767866 53.2247574),9,2,Schmiedestraße
117,412,node,902415900,10.3725779,53.2263697,POINT (10.3725779 53.2263697),4,2,Rehrweg
118,416,node,915967687,10.3840653,53.249349,POINT (10.3840653 53.249349),3,7,Volgershall/UNI
119,417,node,924513262,10.397306,53.2407753,POINT (10.397306 53.2407753),2,8,Städtisches Klinikum
120,439,node,1039463414,10.4313902,53.2509696,POINT (10.4313902 53.2509696),0,,Behördenzentrum (Ost)
121,440,node,1048704480,10.3880794,53.2543494,POINT (10.3880794 53.2543494),6,7,Psychiatrische Klinik
122,442,node,1108268733,10.4047332,53.2741646,POINT (10.4047332 53.2741646),1,12,Bei der Pferdehütte
123,443,node,1116593359,10.3812801,53.2465139,POINT (10.3812801 53.2465139),2,10,Alec-Moore-Straße
124,445,node,1116593365,10.3985975,53.2452478,POINT (10.3985975 53.2452478),6,7,Am Bargenturm
125,446,node,1116593369,10.4689526,53.2613986,POINT (10.4689526 53.2613986),1,15,Heidkoppelweg
126,447,node,1116593371,10.4680489,53.2602671,POINT (10.4680489 53.2602671),4,15,Memeler Straße
127,448,node,1116593375,10.38069,53.2448537,POINT (10.38069 53.2448537),3,10,William-Watt-Straße
128,449,node,1116593381,10.463416,53.2641335,POINT (10.463416 53.2641335),7,15,Allensteiner Straße
129,454,node,1116593396,10.3849708,53.2479273,POINT (10.3849708 53.2479273),7,7,Jüttkenmoor
130,457,node,1116593409,10.4720436,53.2599796,POINT (10.4720436 53.2599796),5,15,Am Ziegeleiteich
131,466,node,1156522335,10.4425957,53.2755805,POINT (10.4425957 53.2755805),0,,Steinweg
132,477,node,1181280550,10.4083952,53.235035,POINT (10.4083952 53.235035),6,8,Friedrich-Ludwig-Jahn-Straße
133,478,node,1181280590,10.4097351,53.2437968,POINT (10.4097351 53.2437968),8,8,Rotes Tor
134,479,node,1181280625,10.4104754,53.2351006,POINT (10.4104754 53.2351006),6,8,Goethestraße
135,482,node,1181280845,10.4519518,53.2428075,POINT (10.4519518 53.2428075),0,,Hagen Wendeplatz
136,485,node,1181280913,10.4278875,53.2510849,POINT (10.4278875 53.2510849),9,13,Hopfengarten
137,486,node,1181280956,10.4108562,53.2377319,POINT (10.4108562 53.2377319),3,8,Wielandstraße
138,487,node,1181280963,10.4349723,53.2509447,POINT (10.4349723 53.2509447),0,,Hans-Steffens-Weg
139,488,node,1181280987,10.4047485,53.222771,POINT (10.4047485 53.222771),5,3,Gaußstraße
140,494,node,1181281148,10.4039471,53.2267352,POINT (10.4039471 53.2267352),2,2,Heinrich-Böll-Straße
141,499,node,1187269501,10.4015929,53.2275296,POINT (10.4015929 53.2275296),4,3,Carl-von-Ossietzky-Straße
142,500,node,1195426701,10.478437,53.2423045,POINT (10.478437 53.2423045),2,1,Otto-Brenner-Straße
143,501,node,1195426702,10.4592049,53.2448717,POINT (10.4592049 53.2448717),5,1,Flugplatz
144,503,node,1195426707,10.4459578,53.2455633,POINT (10.4459578 53.2455633),3,1,Walter-Bötcher-Straße
145,504,node,1195426708,10.4492537,53.2461948,POINT (10.4492537 53.2461948),3,1,Stadtkoppel
146,505,node,1195426715,10.4778019,53.2402935,POINT (10.4778019 53.2402935),5,1,Kurt-Höbold-Straße
147,506,node,1195426718,10.4429666,53.2447657,POINT (10.4429666 53.2447657),1,1,Richard-Brauer-Straße
148,507,node,1195426726,10.477347,53.2465791,POINT (10.477347 53.2465791),3,1,Elso-Klöver-Straße
149,508,node,1195426727,10.4300483,53.2478555,POINT (10.4300483 53.2478555),10,5,Gellersstraße
150,509,node,1195426730,10.4760492,53.2390287,POINT (10.4760492 53.2390287),4,1,Wilhelm-Fressel-Straße
151,522,node,1321746678,10.3914278,53.2407532,POINT (10.3914278 53.2407532),3,8,Schildsteinweg
152,528,node,1348734466,10.4121817,53.2554488,POINT (10.4121817 53.2554488),4,11,Finanzamt
153,529,node,1348734468,10.4105509,53.2603115,POINT (10.4105509 53.2603115),2,12,Auf dem Schmaarkamp
154,530,node,1348734473,10.4136152,53.2583328,POINT (10.4136152 53.2583328),2,11,Auf der Hude
155,534,node,1349023125,10.3849925,53.2598361,POINT (10.3849925 53.2598361),3,7,Tennispark
